grupo,1. Los proyectos o ideas nuevas me distraen de proyectos o ideas que ten¡a desde antes.,"2. Los ¢bstaculos no me desaniman
","3. Estuve concentrado en una idea o proyecto por un corto tiempo, pero despu‚s perd¡ inter‚s ","4. Trabajo duro
","5. Con frecuencia me propongo un objetivo, pero luego trato de cumplir un objetivo diferente",6. Me resulta dificil mantener mi atenci¢n en proyectos que duran m s all  de algunos meses en terminar,7. Soy chambeador(a),p8_apostarmil,p9_batepelota,p10_tandacorto,p11_tandalargo,p12_retornodeposito,p13_preciosbajan,escol,p15_estadocivil,16. ¨Cu les de los siguientes grupos de personas dependen de usted?,p16_1menores,p16_2adulmay,p16_3otros,ESTATUS Tel Casa,Estatus Celular,Status,edad,hijos,statusempleo,genero,celular,lineafija,Status de residencia,Ingresos comprobados,Ingresos no comprobados,Prestamos con Provident,Prestamos activos,Monto de los prestamos activos,Total a Pagar,Monto atrasado,Pago semanal,SCelular,STelCasa,SResidencia,Genero
Current,2. No tan bien,3. M s o menos bien,3. M s o menos bien,3. M s o menos bien,5.Muy bien,1. Nada bien ,5.Muy bien,100.00,10.00,1,1,1200.00,FALSO,3ro Preparatoria,Casado,,2,0,0,Efectiva,Ocupado,Completa,42,0,Auto empleado,FE,Y,Y,Renta,0,10000,9,1,15000,30900,400,600,1,1,2,1
Current,4. De acuerdo,3. Indiferente,2. Desacuerdo,5.Totalmente de acuerdo,4. De acuerdo,2. Desacuerdo,5.Totalmente de acuerdo,1000.00,20.00,1,2,12800.00,VERDADERO,1ro Primaria,Casado,,1,0,0,,Efectiva,Completa,48,0,Auto empleado,FE,Y,N,Propietario,3500,4500,11,1,10000,20600,4000,400,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,No quizo particpar,,No realizada,60,0,Auto empleado,FE,N,Y,Propietario,0,4000,12,2,13500,27010,1580,620,0,1,3,1
Current,,,,,,,,,,,,,,,,,,,,Iba de salida,,No realizada,59,0,Auto empleado,FE,N,Y,Propietario,0,7000,5,0,0,0,0,0,0,1,3,1
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,27,2,Auto empleado,FE,Y,N,Renta,0,4800,2,1,2100,3969,2565,126,1,0,2,1
Current,,,,,,,,,,,,,,,,,,,,No contesta,No quizo particpar,No realizada,31,0,Auto empleado,FE,Y,Y,Propietario,0,4500,4,2,8300,16714,6754,370.4,1,1,3,1
Current,,,,,,,,,,,,,,,,,,,,No contesta,Iba de salida,No realizada,46,0,Auto empleado,MA,Y,Y,Propietario,0,7000,4,2,9500,19570,180,380,1,1,3,0
Current,,,,,,,,,,,,,,,,,,,,No quizo particpar,,No realizada,67,0,Auto empleado,FE,N,Y,Propietario,0,5000,5,2,3000,6100,-140,128,0,1,3,1
Current,,,,,,,,,,,,,,,,,,,,Iba de salida,No quizo particpar,No realizada,35,4,Auto empleado,FE,Y,Y,Propietario,0,6400,4,1,8500,17510,2800,340,1,1,3,1
Current,4. De acuerdo,4. De acuerdo,2. Desacuerdo,5.Totalmente de acuerdo,4. De acuerdo,4. De acuerdo,5.Totalmente de acuerdo,1000.00,100.00,1,1,1200.00,FALSO,6to Primaria,Casado,,1,1,0,,Efectiva,Completa,23,2,Auto empleado,FE,Y,N,Vive con padres,0,5600,2,1,5500,11330,5750,220,1,0,1,1
Current,,,,,,,,,,,,,,,,,,,,Fuera de Servicio,Ocupado,No realizada,39,0,Auto empleado,FE,Y,Y,Propietario,0,6400,2,1,2200,4356,397.6,105.6,1,1,3,1
Current,,,,,,,,,,,,,,,,,,,,Numero Equivocado,Numero Equivocado,No realizada,22,2,Auto empleado,FE,Y,Y,Propietario,0,5000,2,1,3700,7326,816,177.6,1,1,3,1
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,24,0,Auto empleado,FE,Y,N,Propietario,0,6500,2,1,3700,7326,626.8,177.6,1,0,3,1
Current,2. Desacuerdo,2. Desacuerdo,3. Indiferente,4. De acuerdo,2. Desacuerdo,2. Desacuerdo,4. De acuerdo,0.00,10.00,1,2,1200.00,FALSO,6to Primaria,Uni¢n Libre,,1,0,1,Fuera de Servicio,Efectiva,Completa,21,0,Auto empleado,FE,Y,Y,Vive con padres,0,6000,2,1,4100,8118,-68,196.8,1,1,1,1
Current,,,,,,,,,,,,,,,,,,,,No se encontraba en el domicilio,No quizo particpar,No realizada,41,2,Auto empleado,MA,Y,Y,Propietario,0,8000,2,2,7500,14940,3160,360,1,1,3,0
Current,3. Indiferente,3. Indiferente,2. Desacuerdo,5.Totalmente de acuerdo,4. De acuerdo,3. Indiferente,5.Totalmente de acuerdo,800.00,25.00,1,1,11200.00,VERDADERO,2do Secundaria,Casado,,0,0,0,,Efectiva,Completa,20,0,Auto empleado,FE,Y,N,Vive con padres,8000,0,1,1,2000,3780,960,120,1,0,1,1
Current,,,,,,,,,,,,,,,,,,,,,Numero Equivocado,No realizada,36,0,Auto empleado,FE,Y,N,Propietario,2300,1800,1,1,5000,9900,1271,240,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,39,0,Auto empleado,MA,Y,N,Propietario,0,12000,1,1,3700,6993,1994,222,1,0,3,0
Current,,,,,,,,,,,,,,,,,,,,,Numero Equivocado,No realizada,50,2,Auto empleado,FE,Y,N,Renta,0,5000,1,1,3000,5670,180,180,1,0,2,1
Current,,,,,,,,,,,,,,,,,,,,,No quizo particpar,No realizada,53,0,Auto empleado,MA,Y,N,Propietario,0,5000,1,1,3000,5940,720,144,1,0,3,0
Current,3. Indiferente,4. De acuerdo,5.Totalmente de acuerdo,5.Totalmente de acuerdo,2. Desacuerdo,2. Desacuerdo,5.Totalmente de acuerdo,800.00,100.00,1,1,1200.00,VERDADERO,3ro Secundaria,Casado,,0,0,3,,Efectiva,Completa,30,2,Auto empleado,FE,Y,N,Propietario,0,3800,7,2,6500,13390,350,260,1,0,3,1
Current,5.Totalmente de acuerdo,2. Desacuerdo,2. Desacuerdo,5.Totalmente de acuerdo,5.Totalmente de acuerdo,5.Totalmente de acuerdo,5.Totalmente de acuerdo,1000.00,110.00,1,2,2000.00,FALSO,3ro Primaria,Casado,,0,0,1,Efectiva,,Completa,63,0,Auto empleado,FE,Y,N,Propietario,0,5600,3,1,1500,2835,570,90,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,,Fuera de servicio,No realizada,52,3,Auto empleado,FE,Y,N,Propietario,0,5000,3,1,8000,16480,1140,320,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,30,0,Auto empleado,FE,Y,N,Propietario,0,4800,2,1,6000,12360,5405,240,1,0,3,1
Current,3. Indiferente,3. Indiferente,5.Totalmente de acuerdo,4. De acuerdo,4. De acuerdo,2. Desacuerdo,4. De acuerdo,600.00,10.00,1,1,22200.00,,,,,,,,,Fuera de servicio,Incompleta,25,2,Auto empleado,FE,Y,N,Propietario,0,5200,5,2,11200,22776,820,477.6,1,0,3,1
Current,4. De acuerdo,4. De acuerdo,3. Indiferente,5.Totalmente de acuerdo,4. De acuerdo,2. Desacuerdo,5.Totalmente de acuerdo,1000.00,10.00,1,1,12000.00,VERDADERO,1ro Secundaria,Casado,,1,0,0,,Efectiva,Completa,22,0,Auto empleado,MA,Y,N,Vive con padres,4000,0,3,1,3500,7210,440,140,1,0,1,0
Current,5.Totalmente de acuerdo,4. De acuerdo,1. Totalmente en desacuerdo,5.Totalmente de acuerdo,3. Indiferente,2. Desacuerdo,5.Totalmente de acuerdo,300.00,10.00,1,1,1020.00,FALSO,3ro Preparatoria,Soltero,,0,0,0,,Efectiva,Completa,26,0,Auto empleado,FE,Y,N,Vive con padres,0,4000,3,1,15000,30900,2100,600,1,0,1,1
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,33,1,Auto empleado,FE,Y,N,Propietario,0,4900,1,1,3000,5940,188,144,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,,No se encontraba en el domicilio,No realizada,42,3,Auto empleado,FE,Y,N,Propietario,0,4000,3,1,2200,4356,-627.6,105.6,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,,No quizo particpar,No realizada,48,0,Auto empleado,FE,Y,N,Propietario,0,5000,3,2,6000,12200,1314,256,1,0,3,1
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,27,3,Auto empleado,MA,Y,N,Propietario,0,4000,1,0,0,0,0,0,1,0,3,0
Current,,,,,,,,,,,,,,,,,,,,,No contesta,No realizada,22,0,Auto empleado,FE,Y,N,Vive con padres,0,6000,3,2,6500,13390,-400,260,1,0,1,1
